gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
male,20,third,green,72,150,0,1,10,Yes,10,11,3,7
female,27,other,brown,69,300,3,0,3,Yes,1,100,0,4
female,23,fourth,brown,62,385,1,1,4,Yes,7,85,0,6
male,23,third,brown,68,25,1,2,2,Yes,5,100,3,5.5
female,20,third,blue,65,424,0,1,2,No,0,40,10,25
male,20,second,blue,72,35,2,1,4,Yes,6,150,2,4
female,20,third,brown,67,1050,2,0,20,Yes,7,30,0,1
male,20,third,brown,72,70,1,0,21,Yes,3,550,4,5
female,18,first,blue,68,130,0,1,5,Yes,7,7,0,2
female,23,third,brown,60,6750,0,1,35,No,0,3,0,0
male,20,second,green,68,125,0,0,10,No,0,25,20,4
female,22,fourth,hazel,63,20,4,2,5,Yes,2,75,0,10
female,19,second,hazel,67,30,1,1,30,Yes,5,30,0,15
male,23,other,brown,75,165,1,1,8,Yes,14,75,7.5,45
male,20,second,blue,69,136,5,0,12,Yes,14,25,5,21
male,19,first,hazel,75,0,0,1,1,Yes,5,100,5,5
male,20,second,brown,71,30,2,0,10,Yes,9,200,5,5
male,20,third,blue,72,92,2,1,5,No,0,40,5,15
female,19,second,blue,72,170,0,1,14,No,0,25,0,2
male,19,first,brown,72,315,0,2,6,No,0,10,5,10
female,19,first,blue,66,800,1,1,9,Yes,14,50,0,4
female,20,third,green,63,8,0,2,15,Yes,0,50,1,4
male,20,second,blue,73,190,1,0,7,No,0,120,5,25
male,18,first,blue,73,78,1,0,30,No,0,73,5,5
male,18,first,blue,75,150,0,2,3,Yes,6,100,3,5
female,20,third,blue,66,844,0,1,7,Yes,7,100,7,9
female,19,second,brown,67,1800,1,0,8,Yes,9,101,0,3
male,20,second,brown,72,35,1,0,15,No,0,115,45,35
male,20,second,hazel,75,120,2,0,12,Yes,15,100,0,5
male,50,other,hazel,75,1800,1,2,40,Yes,5,25,0,2
male,20,second,other,72,200,1,1,10,No,0,32,5,5
male,18,first,brown,76,20,1,1,5,Yes,5,250,1,10
female,20,third,blue,66,100,2,1,80,No,0,85,3,2
male,19,second,brown,69,300,2,1,3,Yes,2,200,10,10
male,21,third,blue,68,250,0,1,7,Yes,7,100,14,14
female,20,second,brown,64,120,0,2,24,Yes,4,112,2,3
male,20,third,blue,69,1275.25,2,1,8,Yes,15,78,0.5,7
female,19,first,blue,65,770,2,1,20,No,0,40,0,5
male,21,fourth,blue,72,120,2,0,20,Yes,5,15,2,2
female,20,second,brown,71,70,2,0,14,No,0,30,0,7.5
male,19,second,blue,69,200,1,0,12,Yes,5,19,7,4
male,19,second,brown,72,320,3,1,15,Yes,5,0,0,2
male,22,fourth,blue,69,75,1,2,3,Yes,5,3,0,5
male,20,second,hazel,74,360,1,0,10,Yes,5,0,2,15
male,20,second,blue,70,50,3,0,7,Yes,7,100,1,20
female,20,third,blue,65,220,1,0,8,Yes,5,5,0,9
female,19,first,blue,66,270,1,0,6,No,0,100,0,0
male,21,third,blue,73,230,0,1,3,Yes,5,200,1,8
male,23,third,blue,70,192,0,1,6,Yes,6,275,0,5
male,19,first,blue,69,190,0,1,5,Yes,6,50,4,3
male,19,second,green,68,45,1,1,2,Yes,3.5,20,2,10
female,18,first,hazel,66,220,0,1,4,No,0,50,4,15
male,19,first,green,73,30,0,1,3,No,0,20,16,4
female,20,second,green,69,50,3,3,12,Yes,6,25,0,8
male,20,second,blue,74,100,0,2,5,No,0,20,0,5
female,21,fourth,brown,64,23,1,2,20,Yes,6,40,5,5
male,22,other,brown,70,100,0,2,20,No,0,23,1,15
female,20,second,blue,72,230,2,0,6,No,0,90,1,1
male,22,fourth,green,72,125,3,0,20,Yes,2,100,0.5,5
female,20,third,brown,67,150,1,0,15,Yes,6,150,0,14
female,20,second,brown,64,250,1,0,15,Yes,5,100,0,5
female,20,third,green,65,270,1,0,20,Yes,7,60,0,10
female,19,second,blue,70,250,1,0,10,Yes,5,100,0,7
female,20,third,hazel,65,200,1,0,3,Yes,10,5,1,7
female,19,second,brown,69,20,3,0,2,No,0,35,0,6
male,20,second,green,72,160,0,1,2,Yes,3,50,3,10
male,21,fourth,hazel,72,1,2,0,3,No,0,65,2,4
female,20,second,green,65,50,0,4,14,Yes,7,40,1,3
female,21,fourth,blue,67,35,0,2,12,Yes,6,50,0,12
male,22,fourth,blue,72,60,1,1,6,Yes,5,12,5,15
female,19,second,blue,62,1800,6,2,8,No,0,12,0,7
female,20,third,blue,67,20,0,1,7,No,0,65,0,14
female,19,second,green,67,50,1,0,3,Yes,2,100,1,3
male,23,other,hazel,70,20,2,2,8,No,0,20,5,5
female,23,other,brown,69,30,2,1,3,Yes,4,30,0,6
female,19,first,green,72,200,2,1,10,Yes,7,100,0,5
male,19,second,blue,66,75,0,1,4.5,No,0,97,1.5,2.5
male,20,second,brown,72,120,0,0,10,Yes,7,53,10,15
female,21,third,brown,66,176,2,2,7,Yes,3,50,2,5
female,21,second,brown,64,1000,1,2,25,No,0,10,1,5
male,20,second,hazel,73,140,1,1,10,No,0,50,15,30
female,18,first,green,60,20,0,3,15,Yes,2.5,75,5,2
male,20,second,blue,74,90,2,1,10,Yes,0,100,5,20
male,18,first,blue,67,110,1,3,2,No,0,8,5,6
female,23,third,brown,66,215,1,0,5,Yes,4,200,5,2
female,20,second,green,64,720,1,0,12,Yes,2.5,124,1,20
male,20,second,brown,69,20,0,0,6,Yes,2,100,5,6
female,19,first,brown,64,182,0,2,5,Yes,5,20,5,10
female,19,second,brown,63,0,1,2,5,Yes,4,50,1,12
male,19,first,brown,70,1412.47,0,2,5,Yes,9,42,0,2
male,23,other,blue,72,90,3,1,6,No,0,10,2,20
male,20,second,blue,70,245,0,2,9,Yes,2,20,1,3
female,19,third,blue,64,215,0,1,5,Yes,5,30,0,8
female,20,second,hazel,64,1400,0,1,4,Yes,5,50,1,6
female,21,fourth,brown,63,385,0,1,6,Yes,4,75,0,3
male,25,other,blue,72,220,0,1,15,No,0,50,2,35
male,26,other,green,72,90,1,3,15,Yes,5,100,2,5
male,23,fourth,hazel,70,120,0,3,10,Yes,6,50,0,10
male,21,third,blue,72,100,2,1,25,No,0,500,1,5
male,21,third,hazel,72,40,0,1,6,Yes,10,25,10,14
female,20,second,blue,70,94,1,0,20,Yes,2,30,5,10
male,20,second,hazel,69,260,1,2,10,Yes,8,75,10,20
female,20,second,hazel,67,23,1,1,5,Yes,5,100,1,10
male,25,other,brown,76,99,2,1,10,Yes,7,200,5,15
female,20,third,brown,65,211,1,0,21,Yes,3,200,0,15
female,19,first,green,61,0,1,0,6,No,0,150,1,5
male,22,other,brown,77,200,3,0,25,No,0,90,2,10
male,20,second,green,72,300,1,1,15,Yes,8,20,2,50
male,21,third,hazel,70,196,2,0,40,No,0,120,12,7
male,19,first,brown,72,300,0,1,5,No,0,70,1,3
female,18,first,brown,68,35,0,1,5,No,0,20,10,4
male,20,third,blue,73,200,1,3,10,Yes,8,75,0,14
male,20,second,brown,73,170,1,1,6,Yes,4,71,2,6
female,21,third,blue,66,120,0,2,10,No,0,50,0,4
male,20,second,brown,78,0,1,1,2,Yes,10,20,4,20
male,21,fourth,blue,69,250,2,0,8,No,0,52,12,15
male,20,second,blue,70,100,1,1,4,Yes,6,105,2,10
female,20,third,green,68,150,1,0,3,No,0,10,3,1
female,20,first,blue,61,347.47,0,2,10,No,0,80,5,10
female,20,second,blue,68,90,1,1,2,No,0,20,5,5
male,20,third,green,77,350,1,0,2,Yes,5,60,0,6
male,23,second,hazel,70,60,2,1,2,No,0,25,0,6
female,24,other,green,65,30,0,2,18,No,0,50,0,8
male,20,third,blue,75,150,2,1,5,Yes,8,30,0,2
male,19,second,brown,66,109,2,3,10,Yes,4,12,20,20
male,22,fourth,blue,72,1042.92,0,2,10,Yes,2,0,0,10
female,21,third,brown,66,40,2,2,15,Yes,6,25,1,10
male,23,fourth,hazel,72,340,1,1,20,No,0,124,2,1
female,21,third,brown,65,60,1,0,5,No,0,20,0,3
male,21,third,other,72,35,0,0,10,Yes,5,40,15,20
female,20,third,hazel,67,35,0,1,3,No,0,100,0,20
male,20,first,blue,70,75,0,1,10,Yes,5,80,5,20
female,18,first,green,65,1700,0,0,12,Yes,8,45,0,4
female,20,second,brown,64,0,1,0,5,Yes,4,50,0,10
male,21,third,brown,75,215,2,1,12,No,0,20,2,12
female,20,third,green,61,75,4,2,12,No,0,200,2,10
female,19,second,hazel,69,240,0,2,4,Yes,14,24,2,2
female,20,third,green,69,20,0,1,5,Yes,6,20,2,10
male,20,second,blue,74,65,1,2,40,Yes,3,20,3,2
male,20,second,hazel,72,35,0,1,4,Yes,7,120,12,25
male,23,fourth,blue,69,30,1,2,14,Yes,6,250,2,21
female,20,third,blue,63,0,1,1,3,Yes,3,100,0,10
female,20,third,green,68,200,2,1,10,Yes,6,46,1,10
female,21,third,blue,69,232,1,0,7,No,0,200,1,6
female,21,third,blue,59,350,0,1,15,Yes,5,55,0,1
female,22,fourth,brown,74,144,1,1,3,Yes,3,14,0,4
male,18,first,hazel,68,180,0,0,5,Yes,3,85,2,1
female,19,second,brown,63,182.5,1,0,10,Yes,0,42,6,5
male,19,first,green,72,12,0,1,17.5,No,0,70,2,4
female,20,third,brown,67,160,1,0,11,Yes,4.5,100,1,5
female,18,first,blue,60,90,0,1,15,Yes,6,75,0,14
male,25,other,blue,71,68,2,1,5,Yes,4.5,12,8,8
female,20,third,green,62,250,1,1,4,Yes,6,40,0,7
male,21,third,brown,72,180,3,2,4,No,0,100,0,10
female,20,third,brown,68,0,1,0,6,No,0,53,3,5
male,24,other,brown,68,180,0,1,7,Yes,10,200,12,8
female,21,third,brown,67,52,1,1,15,Yes,9,150,0,8
female,19,second,brown,70,75,0,1,50,No,0,30,1,4
female,20,third,hazel,67,45,1,0,10,Yes,10,40,0,20
female,23,first,blue,65,46,0,2,10,Yes,5,6,0,12
female,20,third,green,69,35,3,2,10,Yes,3,200,0,6
female,20,third,hazel,67,333,1,1,12,Yes,3,126,0,5
male,21,third,brown,68,600,1,0,5,Yes,0,200,5,20
female,19,first,blue,63,500,0,0,20,No,0,70,2,20
female,19,second,hazel,67,25,0,1,30,Yes,4,20,0.5,14
female,19,first,blue,64,150,1,1,10,Yes,4,50,5,10
male,18,first,brown,67,0,1,0,14,No,0,100,3,3
female,20,third,green,65,45,1,0,40,No,0,75,1,12
male,22,other,hazel,72,400,0,1,4,Yes,4,200,6,17
female,19,second,brown,67,100,1,3,2,Yes,3,20,0,2
female,19,second,blue,66,15,2,2,25,Yes,4,100,0,15
female,19,second,brown,66,40,1,1,12,No,0,150,3,5
female,19,first,green,64,12,2,0,8,Yes,3,15,0,6
male,20,third,blue,71,119,2,0,25,No,0,,6,6
male,22,fourth,blue,71,40,0,1,10,No,0,150,0,2
male,20,second,hazel,70,250,2,2,3,No,0,80,10,3
female,19,first,green,65,75,0,3,20,Yes,10,54,2,5
female,21,fourth,brown,64,60,1,0,4,Yes,0,40,0,30
male,24,other,brown,70,150,0,1,10,No,0,15,0,10
male,20,second,hazel,74,90,0,1,20,Yes,3,200,1,10
female,21,third,green,68,120,0,1,4,No,0,500,0,7
female,19,second,hazel,65,150,4,4,10,Yes,7,50,0,15
female,21,third,blue,73,60,0,4,7.5,Yes,5,56,0,18
male,18,first,blue,69,180,1,1,3,Yes,5,50,5,15
female,19,second,blue,67,200,0,3,20,No,0,50,1,7
female,20,second,green,68,150,0,1,49,No,0,25,0,2
female,20,second,green,63,152,3,2,14,Yes,1.5,80,0.5,7
male,21,third,blue,74,140,0,0,8,No,0,0,8,5
female,23,other,blue,64,138,0,2,5,No,0,200,0,12
female,22,fourth,blue,62,145,1,2,15,Yes,5.5,15,0,6
female,23,other,brown,63,145,1,0,10,No,0,50,5,10
female,19,second,hazel,70,250,2,0,37.5,Yes,7.5,75,0,17
male,21,third,brown,78,100,0,3,15,Yes,0,20,0,12
male,19,second,blue,73,260,0,1,10,Yes,2,50,0,20
female,20,third,brown,65,166,1,1,10,No,0,70,0.3,2
male,21,third,blue,72,80,1,1,10,Yes,10,200,12,6
male,20,second,hazel,68,200,2,0,26,Yes,16,0,0,1
female,19,second,green,65,126,1,1,4,No,0,80,0,2
male,19,first,green,71,40,1,0,10,No,0,30,10,21
female,19,second,blue,62,120,1,0,15,Yes,4,50,3,2
male,19,first,brown,67,180,0,1,10,No,0,10,1,9
female,20,second,green,70,40,1,0,12,Yes,3,45,4,5
male,19,second,brown,76,34,1,0,10,Yes,3,,2,6
male,22,third,blue,68,240,0,1,3,Yes,2,10,0,3
female,18,first,other,68,10000,0,0,25,No,0,50,2,1
male,31,first,brown,69,0,2,1,5,Yes,6,30,0,5
male,20,second,blue,73,200,1,0,22,Yes,3.5,5,2,10.5
female,21,fourth,blue,67,125,1,0,20,Yes,1,10,0,15
female,19,third,green,66,350,0,2,20,No,0,30,2,10
female,19,second,hazel,62,200,3,2,30,Yes,7,50,0,30
female,19,second,brown,67,200,1,1,5,Yes,1,60,0,1
female,21,third,blue,67,0,0,1,48,No,0,150,1,6
female,33,other,green,64,90,2,0,10,Yes,4,20,0,4
male,18,first,hazel,69,15,1,0,7,Yes,3,30,1,2
male,21,third,blue,77,80,1,0,30,Yes,10,50,0,4
male,21,third,green,72,60,0,1,5,No,0,30,10,10
female,19,second,blue,66,65,2,1,3,Yes,2,,1,8
female,19,first,brown,69,223,3,3,20,Yes,6,30,2,6
female,22,fourth,brown,63,160,3,3,5,Yes,5,30,0,12
male,22,fourth,brown,75,375,0,1,15,Yes,5,25,20,25
male,20,third,brown,67,200,1,0,25,No,0,10,1,10
female,22,fourth,brown,61,35,0,1,20,Yes,6,50,5,20
female,19,second,blue,67,0,5,5,4,No,0,0,0,3
male,23,fourth,green,76,200,1,0,4,No,0,,4,5
male,20,second,blue,72,150,0,0,7,No,0,380,5,8
male,20,second,brown,71,173,2,2,4,Yes,6,88,1,1
female,18,first,brown,61,30,3,4,10,No,0,30,4,4
male,22,fourth,brown,72,160,0,2,10,Yes,5,10,4,15
male,18,first,green,71,70,0,1,4,Yes,4,50,5,10
male,20,second,brown,68,1076,1,0,7,Yes,13,20,4,21
female,21,fourth,brown,68,30,1,1,4,No,0,30,0,5
male,21,third,hazel,69,175,0,2,12,Yes,4,150,8,6
male,21,third,blue,79,193,0,1,10,Yes,6,400,0,60
male,21,third,green,74,135,2,0,1,Yes,10,50,2,3
male,19,first,brown,70,102.5,3,3,4,No,0,20,7,3
female,23,other,brown,65,183,0,3,49,Yes,4,300,0,3
male,19,first,brown,68,,1,0,10,Yes,3,10,10,5
male,23,other,brown,71,175,1,3,5,Yes,10,40,4,10
female,19,second,green,71,0,2,1,12,No,0,100,0,5
female,19,second,hazel,66,240,0,1,50,No,0,47,0,1
female,23,other,blue,64,300,0,2,20,No,0,10,0,8
female,18,first,brown,72,100,0,1,15,Yes,4,100,0,20
female,20,third,brown,66,0,2,0,2,No,0,50,0,10
male,18,first,blue,61,,2,0,6,Yes,10,100,45,5
female,20,second,hazel,66,179,1,0,5,Yes,9,30,3,2
male,19,second,brown,71,35,0,1,30,No,0,20,18,1
female,19,second,blue,68,30,3,0,40,Yes,6,50,0,0
female,20,second,blue,64,380,2,1,5,Yes,10,2,0,5
male,18,first,hazel,70,195,4,0,15,Yes,7,10,4,3
male,20,second,blue,73,5,0,4,7,Yes,8,50,1,4
female,18,first,blue,66,100,2,2,3,Yes,10,50,0,6
female,25,third,blue,71,260,1,2,15,Yes,6,5,3,15
female,19,first,hazel,68,0,2,0,6,Yes,7,100,0,2
female,20,second,brown,65,200,1,2,30,Yes,5,120,0,10
female,19,first,blue,66,30,2,1,5,Yes,0,,1,3
female,20,second,green,70,200,1,0,,Yes,9,20,1,14
male,19,second,blue,73,105,0,2,4,No,0,15,3,3
female,18,first,hazel,64,170,1,1,3,Yes,2.5,32,4,1
male,21,third,blue,72,96,1,1,15,Yes,5,25,2,5
male,19,first,hazel,74,137,0,1,10,No,0,55,0.5,20
female,22,fourth,blue,,190,1,0,20,No,0,20,0,10
male,23,other,hazel,72,155,0,1,14,Yes,12,400,1,10
male,18,first,blue,73,85,1,1,20,Yes,7,78,2,20
male,20,second,brown,72,150,1,1,25,Yes,4,100,10,25
female,20,second,hazel,73,125,2,0,20,No,0,60,0,5
male,20,third,brown,74,50,3,0,3,Yes,3,75,3,16
female,21,third,brown,65,0,0,0,30,Yes,3,20,5,3
female,20,second,hazel,63,400,1,1,20,No,0,200,3,2
female,18,first,brown,65,190,4,0,10,Yes,5,80,2,10
female,21,third,hazel,62,180,0,2,20,Yes,5,200,0,14
female,18,first,brown,65,7500,1,0,25,Yes,3,50,0,0
female,22,fourth,hazel,62,110,0,3,10,No,0,30,0,10
female,19,first,green,67,150,1,0,,Yes,2.5,25,0,5
female,19,first,hazel,65,800,1,1,15,Yes,6,105,0,3
male,29,fourth,hazel,69,175,2,2,2,No,0,500,3,6
male,20,third,green,67,190,2,0,28,Yes,7,10,1,7
female,20,second,brown,63,70,2,2,5,No,0,30,0,3
female,22,fourth,brown,62,175,1,0,2,Yes,3,80,0,8
female,20,second,hazel,62,52,1,0,12,Yes,7,30,0,10
female,18,first,green,63,60,1,0,15,Yes,4,3,0,0
female,19,second,hazel,70,360,1,0,20,Yes,3,100,0,1
male,22,fourth,blue,72,0,0,0,25,Yes,4,110,10,10
male,19,first,blue,72,40,1,0,10,Yes,8,5,5,20
male,20,third,hazel,72,0,3,0,5,Yes,6,50,3,7
male,21,third,brown,72,90,3,0,2,No,0,30,0.5,10
female,23,third,brown,62,900,0,0,15,Yes,2,70,1,5
male,22,third,blue,72,108,3,4,8,No,0,300,2,1
female,23,other,brown,65,222,2,1,15,Yes,4,10,0,15
female,19,second,brown,64,120,2,0,20,No,0,40,0,15
male,21,third,blue,70,230,0,1,15,Yes,4,300,10,10
male,19,first,green,69,150,1,1,3,Yes,2,30,1,3
male,21,third,brown,67,50,0,2,10,Yes,4,52,20,12
male,23,third,hazel,72,80,0,2,20,Yes,5,20,2,25
female,20,second,hazel,65,90,0,1,15,No,0,200,2,20
male,19,second,blue,67,90,2,1,5,Yes,6,50,8,5
female,20,second,brown,63,120,1,0,5,Yes,4,60,0,3
male,21,third,hazel,72,193,1,1,10,No,0,100,15,15
female,19,second,blue,63,170,1,1,6,Yes,8,100,0,2
female,22,other,green,64,48,0,1,15,Yes,8,750,0,7.5
female,20,third,brown,63,150,1,0,21,Yes,4,50,0,20
female,22,fourth,blue,65,350,1,2,5,Yes,5,200,1,15
female,19,second,hazel,63,300,1,0,10,No,0,60,0,4
female,19,second,blue,68,204,2,1,48,Yes,3,10,0,10
male,21,third,blue,71,100,1,0,2,Yes,3.5,30,3,1
male,21,fourth,hazel,69,160,1,1,5,Yes,0,100,20,20
male,22,third,blue,69,15,0,2,7,No,0,100,0,10
male,21,fourth,blue,67,180,0,1,12,Yes,5,90,0.5,10
female,25,third,hazel,64,198,2,0,15,Yes,5,40,5,5
male,19,first,brown,65,90,0,0,20,No,0,0,0,40
female,21,fourth,hazel,66,350,2,1,10,Yes,3,25,0,15
male,20,second,blue,75,321,2,1,9,Yes,4,200,1,4
male,19,first,blue,75,160,0,1,20,No,0,10,12,20
female,20,second,blue,68,150,1,1,10,Yes,5,100,0,2
male,23,fourth,blue,72,25,2,1,6,No,0,30,25,5
female,20,third,blue,65,200,1,0,1,No,0,300,0,15
female,20,second,brown,70,140,0,1,,No,0,100,2.5,10
female,20,second,hazel,66,131,3,0,12,Yes,7,47,4,3
male,20,third,hazel,70,100,0,2,10,Yes,4,20,0.5,5
male,27,third,blue,71,180,1,0,7,No,0,50,0,12
male,24,fourth,green,72,30,0,1,20,Yes,7,200,0,9
male,21,fourth,blue,69,85,1,2,7,Yes,5,120,3,4
female,20,second,blue,67,130,1,2,21,Yes,5,18,1,6
male,18,first,brown,73,140,1,0,9,Yes,2,80,4,14
male,20,third,blue,74,215,0,2,3,No,0,75,2,17
female,20,second,hazel,64,90,1,0,20,No,0,50,5,18
male,20,second,brown,70,10,1,1,7,No,0,15,3,7
male,20,third,green,68,292,0,1,3,Yes,5,100,1,10
male,20,third,blue,75,400,4,1,1,Yes,6,250,5,10
female,20,second,blue,68,100,0,1,8,Yes,5,50,6,14
female,20,second,hazel,64,0,2,0,35,Yes,2,10,1,35
female,19,second,hazel,64,250,0,0,12,Yes,7,75,3,7
female,19,second,brown,63,0,1,0,21,No,0,70,0,1
male,21,fourth,green,70,9,1,1,25,No,0,65,3,2
female,19,first,blue,64,411,0,1,12,Yes,3,100,0,12
male,20,third,brown,70,75,1,1,10,No,0,40,2,15
male,20,second,brown,75,300,1,3,6,No,0,0,3,3
male,22,fourth,hazel,70,45,2,3,20,No,0,100,10,10
female,20,third,blue,65,25,0,2,15,No,0,30,1,10
female,19,second,brown,60,12089,0,1,60,No,0,20,10,100
female,20,second,brown,70,247,0,2,4,Yes,3,75,0,4
female,19,first,brown,67,90,1,1,20,Yes,6,10,3,10
male,19,second,green,67,400,0,1,2,Yes,3,340,20,10
female,20,third,brown,64,180,3,1,10,No,0,20,1,35
female,19,second,blue,65,200,1,2,20,No,0,75,1,5
female,19,second,blue,66,135.2,1,1,12,Yes,4.5,89,0,13
female,20,second,brown,61,120,0,1,5,Yes,2,20,0,6
male,19,first,other,72,120,0,1,20,No,0,30,3,6
female,19,first,brown,66,300,2,2,35,Yes,4,50,7,30
male,23,other,hazel,71,150,0,1,20,Yes,7,15,0,20
female,20,second,blue,62,150,1,0,16.5,Yes,3.5,60,0,1.5
female,19,first,brown,67,312,1,0,8,Yes,4,70,3,8
male,18,first,hazel,70,70,0,1,25,Yes,5,5,2,5
female,21,third,green,66,20,0,2,4,Yes,6,50,0,20
male,20,second,blue,74,100,2,1,6,Yes,7,13,0,1.5
female,19,second,blue,66,140,1,2,3,No,0,20,0,5
female,19,second,brown,68,,0,2,10,No,0,30,10,10
male,22,other,other,,1700,3,0,6,Yes,20,10,1,3
male,18,first,blue,76,50,0,1,24,Yes,10,125,2,6
male,21,third,brown,76,15,2,0,5,No,0,50,1,10
female,21,third,blue,63,185,2,5,20,Yes,3,20,0,5
male,23,other,brown,67,15,6,0,12,Yes,12,40,10,21
male,19,second,hazel,71,400,1,1,30,No,0,,20,20
female,21,third,blue,67,1838,1,0,15,Yes,4,53,0,5
female,20,second,hazel,67,40,0,1,3,Yes,3.5,56,0.5,5
male,19,second,brown,73,500,0,1,20,Yes,8,0,0,2
female,19,second,hazel,70,90,0,2,15,No,0,15,0,10
female,19,second,blue,63,156,3,0,15,Yes,2,25,0.5,12
female,20,second,brown,66,330,0,1,20,Yes,12,150,1,5
male,21,third,hazel,64,180,1,1,15,No,0,10,0,25
female,20,third,green,68,600,1,0,3,Yes,5,75,0,7
female,21,third,blue,64,170,0,1,20,Yes,5,50,0,7
female,20,second,brown,67,300,3,1,6,Yes,10,100,2,14
female,20,second,brown,65,50,3,1,3,No,0,50,4,6
male,20,second,brown,68,45,0,1,10,Yes,4,,1,10
female,20,second,blue,66,65,0,2,15,Yes,3,25,0,10
male,20,second,hazel,68,120,2,0,50,No,0,50,0,5
female,21,fourth,brown,70,20,1,0,3,Yes,12,,0,7
male,18,first,blue,69,139,1,0,35,No,0,2,3,30
female,20,third,brown,62,5000,2,1,5,No,0,40,5,5
female,33,first,brown,65,,3,4,10,Yes,5,10,10,5
female,22,fourth,green,65,0,1,0,2,Yes,4,300,0,14
female,18,first,hazel,66,200,1,1,14,Yes,6,75,2,2
female,18,first,brown,65,40,4,0,4,No,0,9,2,13
female,19,second,blue,72,0,1,0,5,Yes,3,54,0,10
male,24,third,other,67,6500,1,0,4,No,0,10,5,3
female,20,third,blue,67,14,0,0,1,Yes,7,50,0,10
female,23,other,brown,62,1200,5,0,10,No,0,75,0,3
female,20,third,blue,63,60,3,2,35,No,0,30,0,14
male,24,third,green,76,0,0,3,25,Yes,4,100,3,18
male,21,second,brown,,8000,1,0,35,Yes,3,,28,0
male,19,second,blue,75,120,1,0,15,Yes,3,212,1,10
female,18,first,blue,69,200,0,1,30,No,0,20,2,23
female,21,third,brown,70,180,3,3,10,Yes,5,60,0,3
male,20,third,hazel,72,176,1,0,35,No,0,80,3,5
female,20,third,hazel,70,420,1,0,50,No,0,,0,20
male,20,second,blue,68,288,1,1,15,Yes,6,25,2,10
male,27,third,green,69,1600,2,4,15,Yes,4,50,5,3
male,23,third,blue,69,170,0,1,2,Yes,14,53,0,5
female,21,third,brown,64,60,0,1,5,No,0,30,1,10
male,19,second,brown,75,,2,0,40,No,0,10,1,8
female,19,second,brown,66,200,0,1,15,Yes,2,50,0,2
male,21,fourth,green,72,35,0,1,15,Yes,8,80,8,15
female,25,fourth,brown,64,7000,1,0,35,No,0,50,1,0
male,20,second,green,73,210,0,1,10,Yes,5,50,1,15
female,19,first,blue,61,120,0,1,15,Yes,3,60,0,1
female,20,second,blue,67,140,1,0,5,No,0,50,0,20
male,20,second,blue,71,60,0,0,20,Yes,7,100,0,2
female,20,third,blue,69,155,1,2,5,Yes,3,153,25,6
female,20,third,brown,67,76,1,0,6,No,0,48,0,6
female,20,third,hazel,64,90,2,0,1,Yes,6,20,0,7
female,18,first,hazel,65,45,0,0,7,Yes,3,13,1,2
female,19,second,hazel,,120,1,1,15,No,0,36,0,10
female,19,second,blue,70,180,4,2,15,No,0,25,0,4
male,20,second,blue,78,110,1,0,10,Yes,4,30,0,5
female,19,second,brown,64,120,1,1,5,No,0,100,0,20
male,19,second,blue,74,176,0,0,8,No,0,70,10,6
female,20,second,green,64,100,0,1,4,Yes,6,100,0,2
female,19,first,blue,70,90,0,1,15,Yes,11,60,0,7
female,21,fourth,brown,62,10,3,2,10,Yes,3,30,2,5
male,20,second,green,68,167,1,0,6,Yes,7,70,16,14
male,27,third,brown,68,6500,0,1,1,Yes,1,,0.5,0.5
male,22,third,brown,74,175,0,1,8,Yes,6,120,1,7
male,26,fourth,brown,72,30,0,1,3,No,0,100,0,28
male,18,first,brown,76,45,0,1,12,Yes,8,15,2,8
female,20,second,blue,63,30,0,2,4,No,0,60,0,3
female,21,fourth,hazel,70,45,1,0,20,Yes,3,100,2,12
female,19,second,brown,64,158,1,0,20,No,0,500,0,10
female,26,other,green,70,1132,0,1,50,Yes,5,40,0,0
female,22,other,green,67,30,2,2,75,Yes,10,80,0,20
female,21,third,other,68,4950,0,1,20,Yes,15,100,0,6
female,20,second,blue,64,40,1,2,10,Yes,3,40,0,20
male,22,fourth,green,67,9,1,0,5,Yes,4,20,18,12
male,19,first,brown,70,175,0,1,40,No,0,10,0,1
male,19,second,blue,75,15,0,1,1,Yes,3,100,1,10
male,19,second,brown,70,55,1,1,35,Yes,4,0,1,1
female,19,first,blue,68,0,0,1,3,Yes,6,11,0,30
female,20,second,hazel,64,225,1,0,110,Yes,4,30,1,7
female,21,fourth,green,63,140,1,0,20,Yes,8,100,4,4
female,18,first,green,66,232,4,1,30,Yes,9,100,0,0
male,23,other,hazel,78,0,1,1,10,Yes,4,35,0,3
male,22,third,blue,71,130,2,2,,Yes,6.5,30,1.5,6
female,21,fourth,other,71,180,1,0,6,No,0,100,1,3
female,18,first,brown,60,,0,2,70,No,0,30,7.5,30
male,23,third,hazel,77,330,1,0,20,Yes,6,300,0,10
female,20,third,blue,67,160,0,1,25,Yes,5,45,1,1
male,20,third,blue,69,60,1,1,39,No,0,26,0,6
female,19,first,brown,65,227,0,1,28,No,0,100,0,1
female,20,second,brown,64,120,1,3,8,Yes,7,100,0,10
male,20,second,blue,75,180,0,1,20,No,0,3,4,15
female,20,second,brown,62,160,0,1,7,Yes,4,50,1,5
female,20,third,hazel,68,180,0,1,3,Yes,3,30,1,8
female,20,third,blue,,35,6,4,3,No,0,15,0,10
male,21,third,green,72,70,1,1,12,Yes,3,50,3,24
